time: 44	 sensorID: 50	 sendTo: 20
time: 45	 sensorID: 9	 sendTo: 29
time: 45	 sensorID: 35	 sendTo: 3
time: 45	 sensorID: 48	 sendTo: 20
time: 46	 sensorID: 11	 sendTo: 21
time: 46	 sensorID: 15	 sendTo: 22
time: 46	 sensorID: 16	 sendTo: 18
time: 46	 sensorID: 20	 sendTo: 16
time: 46	 sensorID: 29	 sendTo: 7
time: 46	 sensorID: 42	 sendTo: 49
time: 46	 sensorID: 45	 sendTo: 1
time: 47	 sensorID: 5	 sendTo: 28
time: 47	 sensorID: 9	 sendTo: 48
time: 47	 sensorID: 17	 sendTo: 34
time: 47	 sensorID: 20	 sendTo: 45
time: 47	 sensorID: 32	 sendTo: 7
time: 47	 sensorID: 44	 sendTo: 34
time: 47	 sensorID: 46	 sendTo: 26
time: 48	 sensorID: 8	 sendTo: 9
time: 48	 sensorID: 17	 sendTo: 37
time: 48	 sensorID: 22	 sendTo: 25
time: 48	 sensorID: 24	 sendTo: 14
time: 48	 sensorID: 36	 sendTo: 42
time: 49	 sensorID: 4	 sendTo: 38
time: 49	 sensorID: 6	 sendTo: 21
time: 49	 sensorID: 8	 sendTo: 25
time: 49	 sensorID: 14	 sendTo: 33
time: 49	 sensorID: 43	 sendTo: 11
time: 49	 sensorID: 45	 sendTo: 24
time: 49	 sensorID: 47	 sendTo: 26
time: 49	 sensorID: 50	 sendTo: 15
time: 50	 sensorID: 8	 sendTo: 23
time: 50	 sensorID: 21	 sendTo: 41
time: 50	 sensorID: 24	 sendTo: 40
time: 50	 sensorID: 25	 sendTo: 30
time: 50	 sensorID: 50	 sendTo: 20
time: 51	 sensorID: 5	 sendTo: 13
time: 51	 sensorID: 10	 sendTo: 47
time: 51	 sensorID: 11	 sendTo: 23
time: 51	 sensorID: 16	 sendTo: 28
time: 52	 sensorID: 3	 sendTo: 14
time: 52	 sensorID: 29	 sendTo: 14
time: 52	 sensorID: 31	 sendTo: 30
time: 52	 sensorID: 37	 sendTo: 20
time: 52	 sensorID: 39	 sendTo: 22
time: 52	 sensorID: 41	 sendTo: 36
time: 52	 sensorID: 49	 sendTo: 15
time: 53	 sensorID: 21	 sendTo: 25
time: 53	 sensorID: 28	 sendTo: 41
time: 53	 sensorID: 48	 sendTo: 21
time: 54	 sensorID: 13	 sendTo: 30
time: 54	 sensorID: 37	 sendTo: 46
time: 54	 sensorID: 44	 sendTo: 31
time: 54	 sensorID: 49	 sendTo: 49
time: 55	 sensorID: 5	 sendTo: 17
time: 55	 sensorID: 17	 sendTo: 43
time: 55	 sensorID: 21	 sendTo: 27
time: 55	 sensorID: 47	 sendTo: 3
time: 56	 sensorID: 8	 sendTo: 8
time: 57	 sensorID: 7	 sendTo: 43
time: 57	 sensorID: 14	 sendTo: 48
time: 57	 sensorID: 15	 sendTo: 2
time: 57	 sensorID: 18	 sendTo: 2
time: 57	 sensorID: 33	 sendTo: 12
time: 57	 sensorID: 35	 sendTo: 30
time: 57	 sensorID: 37	 sendTo: 41
time: 57	 sensorID: 40	 sendTo: 48
